X,Y
3.9288181502641946,1.9291811453050207
3.936037427998601,1.9355378618705577
3.9432549563148425,1.9417741667255546
3.9504744769976137,1.9479416738414248
3.9576872467070627,1.9541169983227262
3.9648932570017235,1.960300133880501
3.9721243196182208,1.9662344856742084
3.97938057652068,1.972055565687434
3.986653111947943,1.9778566060813367
3.993941875640105,1.98363756343666
4.001267136755271,1.989164010077971
4.008627511727709,1.9945997819791166
4.0160198464151415,1.999992973511882
4.023443913460716,2.0053434097409015
4.030888312969813,2.0108303139597488
4.03835224908036,2.016313152970944
4.045836475170286,2.0217688769749387
4.053340900792865,2.027197415242374
4.060847883473884,2.0309826228252668
4.068433606893422,2.0345833429061964
4.07609610428991,2.0380291716432732
4.083837267061501,2.041351879729061
4.091720276635379,2.0450717487439283
4.099659941600903,2.048677248770987
4.107654711598507,2.052167613563886
4.115709124514736,2.0555803198335054
4.123879608168893,2.0593476953170504
4.132087098771067,2.0630391275244917
4.140330936157316,2.0666542910908237
4.148616798890861,2.070231544911067
4.156959740087454,2.0739008751191865
4.165330640472494,2.0775104613409527
4.1737290998532055,2.081060112376883
4.182068451773828,2.0842231910579794
4.1902449273459,2.0866297034145846
4.198472355252564,2.0891096696229092
4.206747021891212,2.091641883893019
4.21511084781083,2.093942640747442
4.223601831118997,2.0960331279522717
4.232130310943153,2.098163486884744
4.240692102955017,2.1004296746993507
4.249370651778652,2.102675306431198
4.258192612617961,2.1046512831976445
4.267037102494495,2.1066271689616247
4.275903143907559,2.1086027378671224
4.284860778020584,2.110489037948331
4.293896757845987,2.1122424874264043
4.3029471966970165,2.1139341803326626
4.312011696549927,2.115564020015003
4.320742323279844,2.1170051170945543
4.329244510396952,2.118201554698115
4.337747606147146,2.1192231024719
4.346258765768414,2.120063483749181
4.355034692208602,2.121155081155804
4.363948810303689,2.122330844808813
4.372870677284192,2.123384243398571
4.381798704622481,2.1243151751930336
4.390938230156622,2.125470981494575
4.400153810889853,2.1266644834966004
4.409374323592492,2.127782834015913
4.418599187773761,2.1288259914447165
4.427953282021082,2.1297707235968777
4.437337167033998,2.1307019766782975
4.44672368705116,2.131631160849569
4.456112619456137,2.1325582567458596
4.465578160595311,2.133223183843297
4.475053538934121,2.133858396852859
4.484530546097392,2.1344921923970106
4.49400907828285,2.1351245650240767
4.503518053763444,2.135654192445942
4.513028244654888,2.136182637272303
4.522539578560293,2.1367098966831124
4.532052812601797,2.1372331019078232
4.541587321232811,2.137684993295106
4.551122694934485,2.138135872552784
4.560658881054408,2.1385857381976496
4.570291391837711,2.139127740841285
4.5805119345263625,2.140337266038605
4.590708258343203,2.1416915413600264
4.600878402675273,2.143190237570732
